source,target,confidence,method,status,evidence,alternatives,catalog_version
fpart,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fpc,fpc,1.0,exact,confident,name identical in both managers; homepages 'https://www.freepascal.org/' vs 'http://www.freepascal.org',,v20260906+5da435c8
fpdns,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,pydns,v20260906+5da435c8
fping,fping,1.0,exact,confident,name identical in both managers; homepages 'https://fping.org/' vs 'http://www.fping.com/',,v20260906+5da435c8
fplll,fplll2,0.9,version,confident,"same program line: 5.5.0 vs fplll2 5.0.3 (major 5, port identical-or-older)",,v20260906+5da435c8
fpm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fpp,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fprettify,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fprobe,fprobe,1.0,exact,confident,name identical in both managers; homepages 'https://sourceforge.net/projects/fprobe/' vs '',,v20260906+5da435c8
fq,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fracturedjson,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fragroute,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
framework-tool-tui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fred,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freealut,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,freeglut; freeglut2,v20260906+5da435c8
freebayes,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freeciv,freeciv,1.0,exact,confident,name identical in both managers; homepages 'https://freeciv.org/' vs 'http://www.freeciv.org',,v20260906+5da435c8
freediameter,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freedink,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freeglut,freeglut,1.0,exact,confident,name identical in both managers; homepages 'https://freeglut.sourceforge.net/' vs 'http://freeglut.sourceforge.net/',,v20260906+5da435c8
freeimage,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freeipmi,freeipmi,1.0,exact,confident,name identical in both managers; homepages 'https://www.gnu.org/software/freeipmi/' vs 'http://www.gnu.org/software/freeipmi',,v20260906+5da435c8
freeling,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freeradius-server,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freerdp,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freesasa,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freeswitch,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
freetds,freetds,1.0,exact,confident,name identical in both managers; homepages 'https://www.freetds.org/' vs 'http://www.freetds.org/',,v20260906+5da435c8
freetype,freetype,1.0,exact,confident,name identical in both managers; homepages 'https://www.freetype.org/' vs 'http://www.freetype.org/',,v20260906+5da435c8
freexl,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://www.gaia-gis.it/fossil/freexl/index' as 'libfreexl1-shlibs' but versions '2.0.0' vs '1.0.0g'; no lookalikes either,,v20260906+5da435c8
frege,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
frege-repl,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
frei0r,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,frei0r-dev,v20260906+5da435c8
fresh-editor,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fribidi,fribidi,1.0,exact,confident,name identical in both managers; homepages 'https://github.com/fribidi/fribidi' vs 'http://freedesktop.org/Software/FriBidi',,v20260906+5da435c8
fricas,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
frizbee,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
frotz,frotz,1.0,exact,confident,name identical in both managers; homepages 'https://661.org/proj/if/frotz/' vs 'http://www.geocities.com/SiliconValley/Heights/3222/frotz.html',,v20260906+5da435c8
frozen,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
frpc,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,fpc,v20260906+5da435c8
frps,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fruit,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
frum,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fs-uae,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fselect,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fsevent_watch,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fsevents-tools,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fsql,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fst,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fstrm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fsw,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fswatch,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,watch,v20260906+5da435c8
ftgl,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ftnchek,ftnchek,1.0,exact,confident,name identical in both managers; homepages 'https://www.dsm.fordham.edu/~ftnchek/' vs 'http://www.dsm.fordham.edu/~ftnchek',,v20260906+5da435c8
ftxui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fuc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fuego,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fuego-firestore,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
func-e,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,unace,v20260906+5da435c8
funcoeszz,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
functionalplus,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
funzzy,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,fuzz,v20260906+5da435c8
fuse-overlayfs,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fuse-zip,fuse-zip,1.0,exact,confident,name identical in both managers; homepages 'https://bitbucket.org/agalanin/fuse-zip' vs 'http://code.google.com/p/fuse-zip/',,v20260906+5da435c8
fuseki,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,fuse,v20260906+5da435c8
fusesoc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
futhark,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fuzzy-find,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fvm,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,fvwm,v20260906+5da435c8
fw,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fwknop,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fwup,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fwupd,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fx-agent,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fx-upscale,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fypp,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fzf,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fzf-make,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fzf-tab,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
fzy,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
g-ls,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
g2,g95,0.73,near-hit,near-hit,nearest same-program port: 1.1 vs g95 0.91 (1 major older),,v20260906+5da435c8
g2o,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
g3log,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gabedit,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gedit; gmanedit,v20260906+5da435c8
gabo,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gaffitter,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
galen,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,galeon,v20260906+5da435c8
gallery-dl,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gama,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gaa,v20260906+5da435c8
gambit,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gambit-scheme,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gamdl,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
game-music-emu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gammaray,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gammu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
garage,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
garble,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
garden,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
garmintools,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
garnet,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gnet,v20260906+5da435c8
gascity,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gastown,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gat,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gateway-go,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gator,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gatsby-cli,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gau,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gauche,gauche,1.0,exact,confident,name identical in both managers; homepages 'https://practical-scheme.net/gauche/' vs 'http://www.shiro.dreamhost.com/scheme/gauche/',,v20260906+5da435c8
gauge,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gaul,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gauth,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gawk,gawk,1.0,exact,confident,name identical in both managers; homepages 'https://www.gnu.org/software/gawk/' vs 'http://www.gnu.org/software/gawk/',,v20260906+5da435c8
gaze,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gbox,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,box,v20260906+5da435c8
gcab,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gcalcli,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gcc,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://gcc.gnu.org/' as 'mingw-gcc' but versions '16.2.0' vs '4.1.0'; fuzzy suggestions listed for review,gcc4; gcc5; gcc6,v20260906+5da435c8
gcc@10,gcc10,0.96,normalized,confident,'gcc@10' ~ 'gcc10' after case/punctuation folding,,v20260906+5da435c8
gcc@11,gcc11,0.96,normalized,confident,'gcc@11' ~ 'gcc11' after case/punctuation folding,,v20260906+5da435c8
gcc@12,gcc12,0.96,normalized,confident,'gcc@12' ~ 'gcc12' after case/punctuation folding,,v20260906+5da435c8
gcc@13,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://gcc.gnu.org/' as 'mingw-gcc' but versions '13.4.0' vs '4.1.0'; fuzzy suggestions listed for review,gcc10; gcc11; gcc12,v20260906+5da435c8
gcc@14,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://gcc.gnu.org/' as 'mingw-gcc' but versions '14.4.0' vs '4.1.0'; fuzzy suggestions listed for review,gcc4; gcc10; gcc11,v20260906+5da435c8
gcc@15,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://gcc.gnu.org/' as 'mingw-gcc' but versions '15.3.0' vs '4.1.0'; fuzzy suggestions listed for review,gcc5; gcc10; gcc11,v20260906+5da435c8
gcc@9,gcc9,0.96,normalized,confident,'gcc@9' ~ 'gcc9' after case/punctuation folding,,v20260906+5da435c8
gcem,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gci,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gcin; gc,v20260906+5da435c8
gcl,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gcal; gc,v20260906+5da435c8
gcli,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gcovr,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gcr,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gocr; gc,v20260906+5da435c8
gcsfuse,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gcviewer,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,g3dviewer; zgrviewer,v20260906+5da435c8
gcx,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gc,v20260906+5da435c8
gd,gd,1.0,exact,confident,name identical in both managers; homepages 'https://libgd.github.io/' vs 'http://www.boutell.com/gd/',,v20260906+5da435c8
gdal,gdal,1.0,exact,confident,name identical in both managers; homepages 'https://gdal.org/en/stable/' vs 'http://www.gdal.org',,v20260906+5da435c8
gdb,gdb,1.0,exact,confident,name identical in both managers; homepages 'https://www.gnu.org/software/gdb/' vs 'http://www.gnu.org/software/gdb/',,v20260906+5da435c8
gdbgui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gdbm,gdbm,1.0,exact,confident,name identical in both managers; homepages 'https://www.gnu.org.ua/software/gdbm/' vs 'http://www.gnu.org/software/gdbm/',,v20260906+5da435c8
gdcm,gdcm,1.0,exact,confident,name identical in both managers; homepages 'https://sourceforge.net/projects/gdcm/' vs 'http://gdcm.sourceforge.net/wiki/index.php/Main_Page',,v20260906+5da435c8
gdk-pixbuf,gdk-pixbuf,1.0,exact,confident,name identical in both managers; homepages 'https://gtk.org' vs 'http://www.gnome.org/',,v20260906+5da435c8
gdl,gdl,1.0,exact,confident,name identical in both managers; homepages 'https://gitlab.gnome.org/Archive/gdl' vs 'http://gnudatalanguage.sf.net/',,v20260906+5da435c8
gdown,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gdrive,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,drivel,v20260906+5da435c8
gdrive-downloader,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gdtoolkit,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,xdev-toolkit,v20260906+5da435c8
gdu,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gd,v20260906+5da435c8
gearman,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gebug,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geckodriver,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gecode,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,geekcode; recode,v20260906+5da435c8
gedit,gedit,1.0,exact,confident,name identical in both managers; homepages 'https://gedit-technology.github.io/apps/gedit/' vs 'http://gedit.sourceforge.net/',,v20260906+5da435c8
geeqie,geeqie,1.0,exact,confident,name identical in both managers; homepages 'https://www.geeqie.org/' vs 'http://geeqie.sourceforge.net',,v20260906+5da435c8
geesefs,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gegl,,0.0,ambiguous,needs-review,homepage shared by several targets,libgegl0.0.0-shlibs; libgegl0.1.0-shlibs; geg,v20260906+5da435c8
gel,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gem-completion,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gemgen,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gemini-cli,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gemmi,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
genact,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gnac,v20260906+5da435c8
genders,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
generate-json-schema,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
genext2fs,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gengetopt,gengetopt,1.0,exact,confident,name identical in both managers; homepages 'https://www.gnu.org/software/gengetopt/' vs 'http://www.gnu.org/software/gengetopt/gengetopt.html',,v20260906+5da435c8
geni,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,genius,v20260906+5da435c8
genometools,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gensio,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geocode-glib,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geogram,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geographiclib,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geoip2fast,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geoipupdate,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geometry,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geomview,,0.0,ambiguous,needs-review,homepage shared by several targets,geomview191-shlibs; geomview194-shlibs; geomview195-shlibs,v20260906+5da435c8
geos,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geoserver,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
geph4,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gerbil-scheme,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gerbv,gerbv,1.0,exact,confident,name identical in both managers; homepages 'https://gerbv.github.io/' vs 'http://gerbv.sourceforge.net/',,v20260906+5da435c8
gerrit-tools,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gersemi,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gerust,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,rust,v20260906+5da435c8
get-flash-videos,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
get_iplayer,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gst-player,v20260906+5da435c8
getdns,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
getmail6,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,getmail; gotmail,v20260906+5da435c8
getparty,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gettext,gettext,1.0,exact,confident,name identical in both managers; homepages 'https://www.gnu.org/software/gettext/' vs 'http://www.gnu.org/software/gettext/',,v20260906+5da435c8
getxbook,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gexiv2,libgexiv2.2-shlibs,0.9,homepage,confident,same upstream 'https://wiki.gnome.org/Projects/gexiv2' (desc overlap 0.56),,v20260906+5da435c8
gf,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,pgf,v20260906+5da435c8
gffcompare,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gffread,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gflags,libgflags22-shlibs,0.9,homepage,confident,same upstream 'https://gflags.github.io/gflags/' (desc overlap 0.43),,v20260906+5da435c8
gfold,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gforth,gforth,1.0,exact,confident,name identical in both managers; homepages 'https://www.gnu.org/software/gforth/' vs 'http://www.gnu.org/software/gforth/',,v20260906+5da435c8
gfxutil,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ggc,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gc,v20260906+5da435c8
ggh,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ggml,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ggshield,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gh,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,ghc,v20260906+5da435c8
gh-ost,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,host,v20260906+5da435c8
ghalint,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghc,ghc,1.0,exact,confident,name identical in both managers; homepages 'https://haskell.org/ghc/' vs 'http://www.haskell.org/ghc/',,v20260906+5da435c8
ghc@9.10,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://haskell.org/ghc/' as 'ghc' but versions '9.10.3' vs '7.10.3'; no lookalikes either,,v20260906+5da435c8
ghc@9.12,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://haskell.org/ghc/' as 'ghc' but versions '9.12.3' vs '7.10.3'; no lookalikes either,,v20260906+5da435c8
ghc@9.4,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://haskell.org/ghc/' as 'ghc' but versions '9.4.8' vs '7.10.3'; no lookalikes either,,v20260906+5da435c8
ghc@9.6,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://haskell.org/ghc/' as 'ghc' but versions '9.6.7' vs '7.10.3'; no lookalikes either,,v20260906+5da435c8
ghc@9.8,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://haskell.org/ghc/' as 'ghc' but versions '9.8.4' vs '7.10.3'; no lookalikes either,,v20260906+5da435c8
ghcid,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,ghc-void,v20260906+5da435c8
ghcitty,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghcup,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghex,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,ghex2,v20260906+5da435c8
ghi,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghidra,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghorg,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghostscript,ghostscript,1.0,exact,confident,name identical in both managers; homepages 'https://www.ghostscript.com/' vs 'http://www.cs.wisc.edu/~ghost/',,v20260906+5da435c8
ghostunnel,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghq,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghr,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghz,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
ghz-web,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
gi-docgen,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
