source,target,confidence,method,status,evidence,alternatives
postgresql_select-19,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://www.postgresql.org/' as 'postgresql74' but desc overlap only 0.09; versions '0.9' vs '2.3.0'; no lookalikes either,
postgresql19-devel,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://www.postgresql.org/' as 'postgresql74' but desc overlap only 0.14; versions '19beta3' vs '2.3.0'; no lookalikes either,
postgresql19-devel-server,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://www.postgresql.org/' as 'postgresql' but desc overlap only 0.00; versions '19beta3' vs '7.2.3'; no lookalikes either,
tart-softnet,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
tart,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,tar
py314-hatch-mypyc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-hatch-mypyc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-hatch-mypyc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-hatch-mypyc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py310-hatch-mypyc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-hatch-mypyc,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
hrdx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
PixivBiu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php85-rrd,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
terraform-1.16,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,terraform
kubectl-1.37,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
sif,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
container-compose,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
whereamip,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
mingw-w64-wine-mono-11.3.0,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
assetripper,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
rust-glancer,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
vapor-toolbox,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
scorecard,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
osv-scanner,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
capslock,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
cargo-vet,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
cargo-deny,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-xlsx2csv,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
go-1.27,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-vcs-versioning,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-vcs-versioning,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-vcs-versioning,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-vcs-versioning,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py310-vcs-versioning,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-vcs-versioning,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
vercel-fx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
usacloud,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-panel-material-ui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-panel-material-ui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-panel-material-ui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-panel-material-ui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py310-panel-material-ui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-panel-material-ui,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-zlmdb,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-zlmdb,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-txtorcon,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-textual-fastdatatable,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-textual-fastdatatable,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-textual-fastdatatable,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py310-textual-fastdatatable,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-click-didyoumean,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-click-didyoumean,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-click-didyoumean,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-click-didyoumean,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-llfuse,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-Judy,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
libunibreak,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://github.com/adah1972/libunibreak' as 'libunibreak6-shlibs' but desc overlap only 0.14; versions '7.0' vs '6.1'; no lookalikes either,
ani-cli,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
fzfpp,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
syft,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
checksec,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
mysql-innovation-server,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://dev.mysql.com' as 'mysql%type_pkg[-ssl]' but desc overlap only 0.00; versions '26.7.0' vs '5.0.38'; no lookalikes either,
mysql-innovation,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://dev.mysql.com' as 'mysql%type_pkg[-ssl]' but desc overlap only 0.09; versions '26.7.0' vs '5.0.38'; no lookalikes either,
herdr,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
zig-0.15,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
zig-0.16,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
git-stage-batch,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
fresh,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-setuptools-gettext,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-setuptools-gettext,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-setuptools-gettext,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
rpi-imager,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php85-oracle,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php84-oracle,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php-oracle,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
mysql9-server,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://dev.mysql.com' as 'mysql%type_pkg[-ssl]' but desc overlap only 0.00; versions '9.7.2' vs '5.0.38'; no lookalikes either,
mysql9,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://dev.mysql.com' as 'mysql%type_pkg[-ssl]' but versions '9.7.2' vs '5.0.38'; fuzzy suggestions listed for review,mysql
curl-impersonate,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
esbuild,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
outagedeck,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
github-mcp-server,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-thefuzz,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-thefuzz,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-thefuzz,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-thefuzz,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-dbgpu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-dbgpu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-dbgpu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-dbgpu,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
whichllm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-sphinx-pytest,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-sphinx-pytest,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-sphinx-pytest,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py310-sphinx-pytest,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-sphinx-pytest,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-sphinx-pytest,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
